meal,calories
Grilled chicken salad,400
Quinoa and vegetable stir-fry,450
Turkey sandwich with avocado,500
Greek salad with feta cheese,350
Salmon with roasted vegetables,450
Vegetable curry with rice,400
Lean beef with sweet potato,500
Chicken Caesar wrap,450
Cobb salad with hard-boiled eggs,450
Vegetable and bean burrito,400
Tuna salad with whole grain crackers,350
Shrimp stir-fry with brown rice,450
Quinoa salad with chickpeas and veggies,400
Mixed greens salad with grilled tofu,350
Chicken and vegetable kebabs,450
Turkey and avocado wrap,400
Bean and vegetable chili,350
Tofu and vegetable stir-fry,400
Grilled salmon salad,450
Black bean and corn salad,350
Mushroom and spinach quesadilla,400
Chicken and avocado salad,450
Vegetable and lentil soup,350
Turkey and cheese roll-up,400
Quinoa and black bean bowl,450
Grilled vegetable sandwich,350
Chicken and vegetable stir-fry,400
Spinach and feta stuffed chicken breast,450
Chickpea salad with lemon dressing,350
Turkey and cranberry sandwich,400
Baked tofu with quinoa and vegetables,450
Greek yogurt chicken salad,350
Black bean and avocado wrap,400
Spinach and mushroom quinoa bowl,450
Grilled vegetable and hummus wrap,350
Chicken and vegetable curry,400
Turkey and cranberry salad,450
Vegetable and tofu pad thai,350
Tuna salad lettuce wraps,400
Chickpea and avocado salad,450
Grilled chicken Caesar salad,350
Quinoa stuffed bell peppers,400
Vegetable and lentil curry,450
Grilled portobello mushroom burger,350
Chicken and vegetable stir-fry with noodles,400
Turkey and avocado salad,450
Vegetable and chickpea tagine,350
Black bean and corn quesadilla,400
Salmon and avocado salad,450
Tofu and vegetable curry,350
Quinoa and vegetable sushi rolls,400
Grilled chicken and vegetable wrap,450
Bean and vegetable burrito bowl,350
Chicken and vegetable kebabs with quinoa,400
Turkey and avocado sandwich,450
Vegetable and lentil soup,350
Grilled vegetable and hummus wrap,400
Spinach and feta stuffed chicken breast,450
Chickpea salad with lemon dressing,350
Turkey and cranberry sandwich,400
Baked tofu with quinoa and vegetables,450
Greek yogurt chicken salad,350
Black bean and avocado wrap,400
Spinach and mushroom quinoa bowl,450
Grilled vegetable and hummus wrap,350
Chicken and vegetable curry,400
Turkey and cranberry salad,450
Vegetable and tofu pad thai,350
Tuna salad lettuce wraps,400
Chickpea and avocado salad,450
Grilled chicken Caesar salad,350
Quinoa stuffed bell peppers,400
Vegetable and lentil curry,450
Grilled portobello mushroom burger,350
Chicken and vegetable stir-fry with noodles,400
Turkey and avocado salad,450
Vegetable and chickpea tagine,350
Black bean and corn quesadilla,400
Salmon and avocado salad,450
Tofu and vegetable curry,350
Quinoa and vegetable sushi rolls,400
Grilled chicken and vegetable wrap,450
Bean and vegetable burrito bowl,350
Chicken and vegetable kebabs with quinoa,400
Turkey and avocado sandwich,450
Vegetable and lentil soup,350
Grilled vegetable and hummus wrap,400
Spinach and feta stuffed chicken breast,450
Chickpea salad with lemon dressing,350
Turkey and cranberry sandwich,400
Baked tofu with quinoa and vegetables,450
Greek yogurt chicken salad,350
Black bean and avocado wrap,400
Spinach and mushroom quinoa bowl,450
Grilled vegetable and hummus wrap,350
Chicken and vegetable curry,400
Turkey and cranberry salad,450
Vegetable and tofu pad thai,350
Tuna salad lettuce wraps,400
Chickpea and avocado salad,450
Grilled chicken Caesar salad,350
Quinoa stuffed bell peppers,400
Vegetable and lentil curry,450
Grilled portobello mushroom burger,350
Chicken and vegetable stir-fry with noodles,400
Turkey and avocado salad,450
Vegetable and chickpea tagine,350
Black bean and corn quesadilla,400
Salmon and avocado salad,450
Tofu and vegetable curry,350
Quinoa and vegetable sushi rolls,400
Grilled chicken and vegetable wrap,450
Bean and vegetable burrito bowl,350
Chicken and vegetable kebabs with quinoa,400
Turkey and avocado sandwich,450
Vegetable and lentil soup,350
