meal,calories
Grilled salmon with roasted vegetables,400,,
Chicken fajitas with peppers and onions,450,,
Beef stir-fry with broccoli and brown rice,500,,
Shrimp scampi with whole wheat pasta,450,,
Spaghetti squash with marinara sauce,300,,
Tofu and vegetable stir-fry with quinoa,400,,
Grilled lemon herb chicken with sweet potato,450,,
Turkey chili with beans and corn,350,,
Vegetable curry with chickpeas and rice,400,,
Baked cod with steamed asparagus,350,,
Pork tenderloin with roasted Brussels sprouts,450,,
Quinoa stuffed bell peppers with turkey,400,,
Lentil soup with whole grain bread,350,,
Beef and broccoli over brown rice,450,,
Salmon cakes with mixed greens salad,400,,
Chicken and vegetable kabobs with couscous,450,,
Vegetarian lasagna with side salad,400,,
Baked chicken Parmesan with spaghetti squash,450,,
Turkey meatballs with marinara sauce,350,,
Stuffed acorn squash with quinoa and cranberries,400,,
Lemon garlic shrimp with zucchini noodles,350,,
Black bean tacos with avocado and salsa,400,,
Grilled portobello mushrooms with polenta,350,,
Beef and vegetable kebabs with bulgur,450,,
Chicken and spinach stuffed sweet potatoes,400,,
Turkey burgers with lettuce wraps,350,,
Vegetable stir-fry with tofu over brown rice,400,,
Honey glazed salmon with roasted carrots,450,,
Quinoa salad with roasted vegetables and feta,350,,
Beef and barley soup with whole grain bread,400,,
Grilled chicken Caesar salad with whole grain croutons,450,,
Tofu tikka masala with cauliflower rice,400,,
Shrimp and vegetable stir-fry with quinoa,450,,
Turkey meatloaf with mashed sweet potatoes,400,,
Vegetarian chili with cornbread,350,,
Baked halibut with green beans and quinoa,450,,
Lentil stew with crusty whole grain bread,350,,
Beef tacos with lettuce wraps,400,,
Grilled vegetable skewers with wild rice,350,,
Chicken and vegetable stir-fry with udon noodles,450,,
Turkey sausage and vegetable sauté over couscous,400,,
Stuffed bell peppers with ground turkey and quinoa,450,,
Eggplant Parmesan with whole wheat spaghetti,400,,
Salmon and avocado sushi rolls with miso soup,450,,
Tofu pad Thai with mixed vegetables,400,,
Baked chicken with roasted root vegetables,450,,
Turkey and vegetable stir-fry with brown rice,400,,
Vegetable and lentil curry with naan bread,350,,
Beef and broccoli stir-fry with quinoa,450,,
Grilled shrimp skewers with quinoa salad,400,,
Chicken piccata with roasted cauliflower,450,,
Turkey stuffed zucchini boats with side salad,400,,
Vegetarian stuffed bell peppers with quinoa,350,,
Baked cod with sautéed spinach and quinoa,450,,
Lentil and vegetable soup with whole grain bread,350,,
Beef and vegetable stir-fry with soba noodles,450,,
Grilled chicken with vegetable ratatouille,400,,
Turkey and vegetable stir-fry with brown rice,450,,
Vegetable and chickpea curry with basmati rice,400,,
Baked salmon with lemon dill sauce and roasted potatoes,450,,
Chicken and vegetable teriyaki bowls with brown rice,450,,
Turkey lettuce wraps with quinoa and black beans,400,,
Vegetarian shepherd's pie with mashed cauliflower,350,,
Beef and broccoli cauliflower fried rice,450,,
Grilled shrimp tacos with avocado and mango salsa,400,,
Chicken Alfredo with whole wheat pasta and broccoli,450,,
Turkey and vegetable kebabs with quinoa salad,450,,
Vegetable paella with saffron rice,400,,
Baked tofu with roasted Brussels sprouts and quinoa,400,,
Lentil stuffed bell peppers with tomato sauce,350,,
Beef and vegetable lettuce wraps with hoisin sauce,400,,
Grilled chicken with pineapple salsa and brown rice,450,,
Turkey and vegetable stir-fry with sesame ginger sauce,450,,
Vegetarian black bean and sweet potato enchiladas,400,,
Baked halibut with lemon herb quinoa and green beans,450,,
Chicken and vegetable curry with coconut milk and rice,450,,
Turkey and vegetable stir-fry with peanut sauce and noodles,450,,
Vegetable and lentil stew with crusty whole grain bread,350,,
Beef and vegetable skewers with chimichurri sauce and quinoa,450,,
Grilled shrimp with avocado and mango salad and quinoa,450,,
Chicken and vegetable tikka masala with cauliflower rice,450,,
Turkey and vegetable lettuce wraps with spicy mayo and quinoa,450,,
Vegetarian stuffed zucchini boats with marinara sauce and quinoa,350,,
Beef and vegetable stir-fry with black bean sauce and brown rice,450,,
Grilled chicken with roasted vegetable couscous and tzatziki sauce,450,,
Turkey and vegetable stir-fry with sweet and sour sauce and rice,450,,
Vegetable and chickpea curry with coconut milk and naan bread,400,,
Beef and vegetable fajitas with guacamole, salsa, and whole wheat tortillas,450
Grilled salmon with quinoa tabbouleh and roasted vegetables,450,,
Chicken and vegetable stir-fry with garlic ginger sauce and udon noodles,450,,
Turkey and vegetable stir-fry with Thai basil sauce and jasmine rice,450,,
Vegetarian stuffed peppers with quinoa and black bean chili, topped with avocado,350,
Beef and vegetable stir-fry with Mongolian sauce and quinoa, served with steamed broccoli,450,
Grilled chicken with Mediterranean chickpea salad and quinoa, served with tzatziki sauce,450,
Turkey and vegetable stir-fry with honey soy sauce and brown rice, served with steamed green beans,450,
Vegetable and tofu stir-fry with spicy Szechuan sauce and rice noodles, served with steamed bok choy,450,
Beef and vegetable stir-fry with black pepper sauce and jasmine rice, served with stir-fried snow peas,450,
Grilled salmon with mango avocado salsa and quinoa, served with grilled asparagus,450,
Chicken and vegetable stir-fry with teriyaki glaze and jasmine rice, served with stir-fried baby corn and carrots,450,
Turkey and vegetable stir-fry with sesame orange sauce and quinoa, served with sautéed snap peas,450,
Vegetable and chickpea curry with tikka masala sauce and basmati rice, served with garlic naan bread,450,
Beef and vegetable stir-fry with hoisin ginger sauce and brown rice, served with stir-fried water chestnuts,450,
Grilled chicken with roasted red pepper sauce and quinoa, served with roasted Brussels sprouts,450,
Turkey and vegetable stir-fry with pineapple ginger sauce and jasmine rice, served with steamed broccoli,450,
Vegetable and tofu stir-fry with peanut sauce and rice noodles, served with stir-fried bean sprouts,450,
Beef and vegetable stir-fry with oyster sauce and jasmine rice, served with stir-fried baby bok choy,450,
Grilled salmon with lemon caper sauce and quinoa, served with sautéed green beans,450,
Chicken and vegetable stir-fry with honey garlic sauce and udon noodles, served with stir-fried snap peas,450,
Turkey and vegetable stir-fry with black bean sauce and brown rice, served with sautéed baby corn and carrots,450,
Vegetable and chickpea curry with coconut milk and quinoa, served with garlic naan bread,450,
Beef and vegetable stir-fry with chili garlic sauce and jasmine rice, served with stir-fried baby corn and water chestnuts,450,
Grilled chicken with tomato basil sauce and whole wheat spaghetti, served with steamed broccoli,450,
Turkey and vegetable stir-fry with sweet chili sauce and jasmine rice, served with sautéed snap peas and carrots,450,
Vegetable and tofu stir-fry with hoisin sauce and rice noodles, served with stir-fried bok choy and water chestnuts,450,
Beef and vegetable stir-fry with black pepper sauce and brown rice, served with stir-fried baby bok choy and bell peppers,450,
Grilled salmon with pesto sauce and quinoa, served with roasted Brussels sprouts and cherry tomatoes,450,
Chicken and vegetable stir-fry with garlic ginger sauce and jasmine rice, served with stir-fried snow peas and carrots,450,
Turkey and vegetable stir-fry with teriyaki glaze and brown rice, served with steamed green beans and bell peppers,450,
Vegetable and chickpea curry with mango chutney and basmati rice, served with garlic naan bread and cucumber raita,450,
Beef and vegetable stir-fry with Mongolian sauce and quinoa, served with stir-fried baby corn and water chestnuts,450,
Grilled chicken with balsamic glaze and quinoa, served with roasted Brussels sprouts and butternut squash,450,
Turkey and vegetable stir-fry with Thai basil sauce and jasmine rice, served with sautéed snap peas and bell peppers,450,
Vegetable and tofu stir-fry with sesame orange sauce and rice noodles, served with stir-fried bok choy and water chestnuts,450,
Beef and vegetable stir-fry with hoisin ginger sauce and brown rice, served with stir-fried baby bok choy and snap peas,450,
Grilled salmon with lemon dill sauce and quinoa, served with sautéed green beans and cherry tomatoes,450,
Chicken and vegetable stir-fry with teriyaki glaze and jasmine rice, served with stir-fried bell peppers and water chestnuts,450,
Turkey and vegetable stir-fry with black bean sauce and brown rice, served with steamed broccoli and snap peas,450,
Vegetable and chickpea curry with coconut milk and quinoa, served with garlic naan bread and cucumber raita,450,
Beef and vegetable stir-fry with chili garlic sauce and jasmine rice, served with stir-fried baby corn and water chestnuts,450,
Grilled chicken with tomato basil sauce and whole wheat spaghetti, served with steamed broccoli and bell peppers,450,
Turkey and vegetable stir-fry with sweet chili sauce and jasmine rice, served with sautéed snap peas and carrots,450,
Vegetable and tofu stir-fry with hoisin sauce and rice noodles, served with stir-fried bok choy and water chestnuts,450,
Beef and vegetable stir-fry with black pepper sauce and brown rice, served with stir-fried baby bok choy and bell peppers,450,
Grilled salmon with pesto sauce and quinoa, served with roasted Brussels sprouts and butternut squash,450,
Chicken and vegetable stir-fry with garlic ginger sauce and jasmine rice, served with stir-fried snow peas and carrots,450,
Turkey and vegetable stir-fry with teriyaki glaze and brown rice, served with steamed green beans and bell peppers,450,
Vegetable and chickpea curry with mango chutney and basmati rice, served with garlic naan bread and cucumber raita,450,
Beef and vegetable stir-fry with Mongolian sauce and quinoa, served with stir-fried baby corn and water chestnuts,450,
Grilled chicken with balsamic glaze and quinoa, served with roasted Brussels sprouts and butternut squash,450,
Turkey and vegetable stir-fry with Thai basil sauce and jasmine rice, served with sautéed snap peas and bell peppers,450,
Vegetable and tofu stir-fry with sesame orange sauce and rice noodles, served with stir-fried bok choy and water chestnuts,450,
Beef and vegetable stir-fry with hoisin ginger sauce and brown rice, served with stir-fried baby bok choy and snap peas,450,
